title,price_value,availability,link,collection,date_scraped
Sense Laverne,98.0,Vente,https://mysweetyskin.ma/products/sens-la-verne,Huile Parfumée,2025-10-04 03:01:38.853404
Si Passione,98.0,Vente,https://mysweetyskin.ma/products/si-passione-1,Huile Parfumée,2025-10-04 03:01:38.853404
Taj Sunset Escada,98.0,Vente,https://mysweetyskin.ma/products/taj-sunset-escada,Huile Parfumée,2025-10-04 03:01:38.853404
The One,98.0,Vente,https://mysweetyskin.ma/products/the-one,Huile Parfumée,2025-10-04 03:01:38.853404
Poison Girl,98.0,Vente,https://mysweetyskin.ma/products/poison-girl,Huile Parfumée,2025-10-04 03:01:38.853404
L'interdit,98.0,Vente,https://mysweetyskin.ma/products/linterdit,Huile Parfumée,2025-10-04 03:01:38.853404
La Vie Est Belle,98.0,Vente,https://mysweetyskin.ma/products/la-vie-est-belle-2,Huile Parfumée,2025-10-04 03:01:38.853404
Fame,98.0,Vente,https://mysweetyskin.ma/products/fame,Huile Parfumée,2025-10-04 03:01:38.853404
Libre,98.0,Vente,https://mysweetyskin.ma/products/libre,Huile Parfumée,2025-10-04 03:01:38.853404
Good Girl,98.0,Vente,https://mysweetyskin.ma/products/good-girl,Huile Parfumée,2025-10-04 03:01:38.853404
Coco Mademoiselle,98.0,Vente,https://mysweetyskin.ma/products/coco-mademoiselle,Huile Parfumée,2025-10-04 03:01:38.853404
Luxury girl,77.0,Vente,https://mysweetyskin.ma/products/luxury-girl,Mikhmariyat,2025-10-04 03:01:38.853404
Sweet love,77.0,Vente,https://mysweetyskin.ma/products/sweet-love,Mikhmariyat,2025-10-04 03:01:38.853404
Coco & Musc,77.0,Vente,https://mysweetyskin.ma/products/coco-musc,Mikhmariyat,2025-10-04 03:01:38.853404
Amber & Musc,77.0,Vente,https://mysweetyskin.ma/products/amber-musc,Mikhmariyat,2025-10-04 03:01:38.853404
Orchidée,77.0,Vente,https://mysweetyskin.ma/products/orchidee,Mikhmariyat,2025-10-04 03:01:38.853404
Soft women,77.0,Vente,https://mysweetyskin.ma/products/soft-women,Mikhmariyat,2025-10-04 03:01:38.853404
Fruit rouge,77.0,Épuisé,https://mysweetyskin.ma/products/fruit-rouge,Mikhmariyat,2025-10-04 03:01:38.853404
Oud kambodi,77.0,Vente,https://mysweetyskin.ma/products/oud-kambodi,Mikhmariyat,2025-10-04 03:01:38.853404
Vanille & Miel,77.0,Vente,https://mysweetyskin.ma/products/vanille-miel,Mikhmariyat,2025-10-04 03:01:38.853404
Musc al roman,105.0,Vente,https://mysweetyskin.ma/products/musc-al-roman,Mikhmariyat,2025-10-04 03:01:38.853404
Bacarat rouge musc,105.0,Vente,https://mysweetyskin.ma/products/bacarat-rouge-musc,Mikhmariyat,2025-10-04 03:01:38.853404
Musc tahara,105.0,Vente,https://mysweetyskin.ma/products/musc-atahara,Mikhmariyat,2025-10-04 03:01:38.853404
Soft musc,105.0,Vente,https://mysweetyskin.ma/products/soft-musc,Mikhmariyat,2025-10-04 03:01:38.853404
Fleur d'oranger,77.0,Vente,https://mysweetyskin.ma/products/fleur-doranger,Mikhmariyat,2025-10-04 03:01:38.853404
Tropical,77.0,Vente,https://mysweetyskin.ma/products/tropical,Mikhmariyat,2025-10-04 03:01:38.853404
